"Index","Class","Size","Age","NumberOfAuthors"
"1","FatJarMain.java","128","10","2"
"1","FilterException.java","22","84","1"
"1","FilterOp.java","76","84","3"
"1","AndOp.java","33","84","1"
"1","Arg.java","36","84","1"
"1","EqualsOp.java","44","84","1"
"1","GreaterThanOp.java","70","84","1"
"1","LessThanOp.java","69","84","1"
"1","NotOp.java","31","84","1"
"1","NumberArg.java","28","84","1"
"1","OrOp.java","33","84","1"
"1","StringArg.java","28","84","1"
"1","SymbolArg.java","27","84","1"
"1","XorOp.java","40","84","1"
"1","FilterParser.java","131","84","2"
"1","JsonGenerator.java","224","84","2"
"1","Log4JEntry.java","40","84","2"
"1","Log4JSource.java","391","84","3"
"1","LogEntry.java","47","84","2"
"1","LogIterator.java","26","84","2"
"1","LogServer.java","66","84","2"
"1","LogSkipList.java","95","84","2"
"1","LogSource.java","33","84","1"
"1","MeasureThroughput.java","104","84","3"
"1","MergedLogSource.java","219","84","2"
"1","RandomAccessFileReader.java","329","84","3"
"1","FileLoader.java","60","84","2"
"1","Fs.java","69","84","2"
"1","GraphData.java","85","84","2"
"1","JsonServlet.java","85","84","1"
"1","NumEvents.java","88","84","3"
"1","StaticContent.java","53","84","2"
"1","Throughput.java","126","84","3"
"1","TransactionEntry.java","59","84","2"
"1","TxnLogSource.java","380","84","3"
"1","Credentials.java","47","94","1"
"1","Endpoint.java","72","94","1"
"1","HostPort.java","51","94","1"
"1","HostPortSet.java","51","94","1"
"1","RestCfg.java","110","94","2"
"1","HTTPBasicAuth.java","87","94","1"
"1","ZChildren.java","80","27","1"
"1","ZChildrenJSON.java","76","27","1"
"1","ZError.java","41","27","1"
"1","ZPath.java","63","27","1"
"1","ZSession.java","55","94","1"
"1","ZStat.java","106","27","1"
"1","JAXBContextResolver.java","72","27","1"
"1","KeeperExceptionMapper.java","86","27","1"
"1","RuntimeExceptionMapper.java","55","27","2"
"1","SessionsResource.java","135","94","2"
"1","ZErrorWriter.java","63","27","1"
"1","ZNodeResource.java","412","27","2"
"1","RestMain.java","151","27","3"
"1","ZooKeeperService.java","242","27","3"
"1","Base.java","91","27","4"
"1","CreateTest.java","162","27","4"
"1","DeleteTest.java","95","27","4"
"1","ExistsTest.java","80","27","4"
"1","GetChildrenTest.java","138","27","4"
"1","GetTest.java","122","27","4"
"1","RestTestSuite.java","42","27","1"
"1","RootTest.java","66","77","3"
"1","SessionTest.java","135","94","3"
"1","SetTest.java","154","27","4"
"1","WadlTest.java","45","27","4"
"1","Toaster.java","527","163","1"
"1","BasicDataEncryptionManager.java","50","283","1"
"1","DataEncryptionManager.java","39","283","1"
"1","AddNodeAction.java","74","384","1"
"1","DeleteNodeAction.java","79","384","1"
"1","IconResource.java","106","298","1"
"1","NodeViewerACL.java","187","283","1"
"1","NodeViewerData.java","143","283","1"
"1","NodeViewerMetaData.java","186","283","1"
"1","ZooInspectorNodeViewer.java","138","283","1"
"1","NodeViewersChangeListener.java","37","283","1"
"1","Toolbar.java","92","298","1"
"1","ZooInspectorAboutDialog.java","79","283","1"
"1","ZooInspectorConnectionPropertiesDialog.java","321","283","2"
"1","ZooInspectorNodeViewersDialog.java","631","283","1"
"1","ZooInspectorNodeViewersPanel.java","140","283","1"
"1","ZooInspectorPanel.java","258","283","3"
"1","ZooInspectorTreeViewer.java","384","283","2"
"1","LoggerFactory.java","36","283","1"
"1","NodeListener.java","37","283","1"
"1","NodesCache.java","86","384","1"
"1","Pair.java","120","283","1"
"1","ZooInspectorManager.java","139","283","1"
"1","ZooInspectorManagerImpl.java","875","283","4"
"1","ZooInspectorNodeManager.java","33","283","1"
"1","ZooInspectorNodeTreeManager.java","43","128","1"
"1","ZooInspectorReadOnlyManager.java","99","128","1"
"1","ZooInspector.java","71","283","1"
"1","ZooKeeperRetry.java","288","283","2"
"1","BenchMain.java","30","517","1"
"1","WatchBench.java","300","517","2"
"1","BaseSysTest.java","280","13","9"
"1","DuplicateNameException.java","26","13","1"
"1","GenerateLoad.java","720","14","6"
"1","Instance.java","59","13","1"
"1","InstanceContainer.java","312","13","7"
"1","InstanceManager.java","347","13","5"
"1","NoAssignmentException.java","24","13","1"
"1","NoAvailableContainers.java","28","13","1"
"1","QuorumPeerInstance.java","291","13","10"
"1","SimpleClient.java","116","13","3"
"1","SimpleSysTest.java","173","13","4"
"1","BinaryInputArchive.java","169","561","5"
"1","BinaryOutputArchive.java","153","561","3"
"1","CGenerator.java","129","561","6"
"1","CppGenerator.java","124","561","6"
"1","CSharpGenerator.java","56","561","3"
"1","JavaGenerator.java","57","561","4"
"1","JBoolean.java","52","561","3"
"1","JBuffer.java","109","561","4"
"1","JByte.java","36","561","3"
"1","JCompType.java","76","561","3"
"1","JDouble.java","42","561","3"
"1","JField.java","141","561","3"
"1","JFile.java","87","561","4"
"1","JFloat.java","41","561","3"
"1","JInt.java","36","561","3"
"1","JLong.java","40","561","3"
"1","JMap.java","158","561","4"
"1","JRecord.java","770","561","9"
"1","JString.java","48","561","3"
"1","JType.java","206","561","3"
"1","JVector.java","163","561","4"
"1","Index.java","38","561","3"
"1","InputArchive.java","59","561","3"
"1","OutputArchive.java","62","561","5"
"1","Record.java","31","561","4"
"1","RecordReader.java","83","561","3"
"1","RecordWriter.java","81","561","3"
"1","ToStringOutputArchive.java","198","561","5"
"1","Utils.java","45","561","5"
"1","BinaryInputArchiveTest.java","198","561","5"
"1","TestCheckWriterReader.java","60","561","2"
"1","TestReader.java","28","561","2"
"1","TestWriter.java","32","561","2"
"1","PrometheusMetricsProvider.java","409","562","2"
"1","ExportJvmInfoTest.java","61","562","2"
"1","PrometheusMetricsProviderTest.java","296","562","2"
"1","LeaderElectionAware.java","38","140","2"
"1","LeaderElectionSupport.java","471","140","2"
"1","LeaderOffer.java","90","140","3"
"1","LeaderElectionSupportTest.java","268","140","4"
"1","LockListener.java","41","565","3"
"1","ProtocolSupport.java","202","565","3"
"1","WriteLock.java","303","565","6"
"1","ZNodeName.java","141","565","5"
"1","ZooKeeperOperation.java","40","565","2"
"1","WriteLockTest.java","156","565","2"
"1","ZNodeNameTest.java","187","565","5"
"1","DistributedQueue.java","302","565","6"
"1","DistributedQueueTest.java","269","565","3"
"1","AddWatchMode.java","67","575","1"
"1","ZooKeeperAdmin.java","339","563","5"
"1","AsyncCallback.java","351","563","9"
"1","AuditConstants.java","34","576","1"
"1","AuditEvent.java","98","576","1"
"1","AuditHelper.java","226","576","2"
"1","AuditLogger.java","34","576","1"
"1","Log4jAuditLogger.java","38","576","1"
"1","ZKAuditProvider.java","133","576","1"
"1","AclParser.java","82","563","2"
"1","AddAuthCommand.java","69","563","2"
"1","AddWatchCommand.java","87","575","1"
"1","CliCommand.java","120","563","5"
"1","CliException.java","59","563","2"
"1","CliParseException.java","34","563","2"
"1","CliWrapperException.java","62","563","2"
"1","CloseCommand.java","46","563","2"
"1","CommandFactory.java","74","596","1"
"1","CommandNotFoundException.java","28","563","2"
"1","CreateCommand.java","141","563","7"
"1","DeleteAllCommand.java","90","563","4"
"1","DeleteCommand.java","97","563","4"
"1","DelQuotaCommand.java","171","563","5"
"1","GetAclCommand.java","86","563","5"
"1","GetAllChildrenNumberCommand.java","73","563","2"
"1","GetCommand.java","103","563","4"
"1","GetConfigCommand.java","90","563","4"
"1","GetEphemeralsCommand.java","75","563","2"
"1","ListQuotaCommand.java","84","563","4"
"1","LsCommand.java","136","563","7"
"1","MalformedCommandException.java","28","563","2"
"1","MalformedPathException.java","28","563","2"
"1","ReconfigCommand.java","166","563","6"
